"ano","grupo","idade","sexo","sigla","nLx","Lx_sobre_l0"
"2010","15-19","15","Mulheres","AP","484951.111373439","4.84951111373439"
"2010","20-24","20","Mulheres","AP","483159.370860858","4.83159370860858"
"2010","25-29","25","Mulheres","AP","481409.353314787","4.81409353314787"
"2010","30-34","30","Mulheres","AP","479495.866589435","4.79495866589435"
"2010","35-39","35","Mulheres","AP","476883.78518817","4.7688378518817"
"2010","40-44","40","Mulheres","AP","472985.13623613","4.7298513623613"
"2010","45-49","45","Mulheres","AP","467330.939582447","4.67330939582447"
"2019","15-19","15","Mulheres","AP","487550.15946401","4.8755015946401"
"2019","20-24","20","Mulheres","AP","485914.397328397","4.85914397328397"
"2019","25-29","25","Mulheres","AP","484054.23350238","4.8405423350238"
"2019","30-34","30","Mulheres","AP","482176.232356772","4.82176232356772"
"2019","35-39","35","Mulheres","AP","479584.909091032","4.79584909091032"
"2019","40-44","40","Mulheres","AP","475364.816940316","4.75364816940316"
"2019","45-49","45","Mulheres","AP","469643.761431069","4.69643761431069"
"2021","15-19","15","Mulheres","AP","487588.356895718","4.87588356895718"
"2021","20-24","20","Mulheres","AP","486198.844665614","4.86198844665614"
"2021","25-29","25","Mulheres","AP","483304.999798091","4.83304999798091"
"2021","30-34","30","Mulheres","AP","479553.389521611","4.79553389521611"
"2021","35-39","35","Mulheres","AP","474741.118698586","4.74741118698586"
"2021","40-44","40","Mulheres","AP","468367.032574058","4.68367032574058"
"2021","45-49","45","Mulheres","AP","461014.051204215","4.61014051204215"
"2022","15-19","15","Mulheres","AP","488182.210374464","4.88182210374464"
"2022","20-24","20","Mulheres","AP","486299.567311666","4.86299567311666"
"2022","25-29","25","Mulheres","AP","483611.842251143","4.83611842251143"
"2022","30-34","30","Mulheres","AP","480809.749133267","4.80809749133267"
"2022","35-39","35","Mulheres","AP","477641.228171838","4.77641228171838"
"2022","40-44","40","Mulheres","AP","472828.339567706","4.72828339567706"
"2022","45-49","45","Mulheres","AP","466414.546247668","4.66414546247668"
"2024","15-19","15","Mulheres","AP","488250.035971482","4.88250035971482"
"2024","20-24","20","Mulheres","AP","486799.566638092","4.86799566638092"
"2024","25-29","25","Mulheres","AP","484999.721583722","4.84999721583722"
"2024","30-34","30","Mulheres","AP","482897.740580367","4.82897740580367"
"2024","35-39","35","Mulheres","AP","480740.42568614","4.8074042568614"
"2024","40-44","40","Mulheres","AP","477290.00295841","4.7729000295841"
"2024","45-49","45","Mulheres","AP","472636.516947387","4.72636516947387"
