Ano,Grupo etário,Pop. feminina,Nascimentos,Nasc. femininos,nfx (‰),nfx feminina (‰)
2010,15-19,37069,3604,1785,97.22,48.15
2010,20-24,34422,4425,2162,128.55,62.81
2010,25-29,32575,3480,1730,106.83,53.11
2010,30-34,28233,2020,976,71.55,34.57
2010,35-39,23010,965,477,41.94,20.73
2010,40-44,18292,251,135,13.72,7.38
2010,45-49,14149,25,14,1.77,0.99
2019,15-19,38637,3086,1467,79.87,37.97
2019,20-24,37923,4245,2082,111.94,54.9
2019,25-29,34289,3401,1667,99.19,48.62
2019,30-34,32375,2597,1272,80.22,39.29
2019,35-39,30336,1429,666,47.11,21.95
2019,40-44,25857,404,195,15.62,7.54
2019,45-49,20896,17,6,0.81,0.29
2021,15-19,37066,2909,1395,78.48,37.64
2021,20-24,37903,4049,2014,106.83,53.14
2021,25-29,35049,3282,1567,93.64,44.71
2021,30-34,32154,2522,1197,78.44,37.23
2021,35-39,30948,1546,776,49.95,25.07
2021,40-44,27394,465,241,16.97,8.8
2021,45-49,22394,33,15,1.47,0.67
2022,15-19,36134,2381,1113,65.89,30.8
2022,20-24,37548,3704,1793,98.65,47.75
2022,25-29,35333,3146,1530,89.04,43.3
2022,30-34,32174,2328,1132,72.36,35.18
2022,35-39,31066,1410,702,45.39,22.6
2022,40-44,28032,467,236,16.66,8.42
2022,45-49,23181,20,7,0.86,0.3
2024,15-19,34944,2017,986,57.72,28.22
2024,20-24,36308,3231,1614,88.99,44.45
2024,25-29,35754,2892,1412,80.89,39.49
2024,30-34,32591,2135,1049,65.51,32.19
2024,35-39,30982,1432,687,46.22,22.17
2024,40-44,29050,444,221,15.28,7.61
2024,45-49,24852,32,17,1.29,0.68
