Grupo etário,nMx_2010,nMx_2019,nMx_2021,nMx_2022,nMx_2024
<1,18.747,19.0535,20.4161,16.7794,16.2553
1-4,0.743,0.8752,0.7685,0.908,0.8351
5-9,0.5303,0.39,0.3902,0.2337,0.2883
10-14,0.4943,0.4205,0.7996,0.538,0.2714
15-19,2.5598,3.2865,3.206,2.1281,2.2661
20-24,3.2123,3.9756,4.6174,3.7243,4.0098
25-29,3.0882,2.7752,3.6918,3.5456,3.2192
30-34,2.8305,2.7303,3.3904,3.0618,3.3556
35-39,2.8755,2.4411,4.2999,3.439,3.2908
40-44,3.7435,3.0435,5.4803,3.3902,3.5259
45-49,5.2502,4.252,7.2666,4.7096,4.7328
50-54,6.8541,6.3756,10.3968,6.5264,6.1659
55-59,8.6137,10.6927,14.7801,9.6374,9.2278
60-64,9.5792,16.1816,19.9659,13.0498,14.2292
65-69,20.8671,23.1495,28.8423,24.2725,23.4214
70-74,32.4503,34.7648,46.8783,28.1523,33.7979
75-79,41.6452,49.9497,61.2572,58.3804,48.0657
80+,71.7213,100.6356,127.0869,123.64,119.9521
