grupo_causa,obitos_total
IX. Aparelho circulatório,1991
XX. Causas externas,1962
II. Neoplasias,1308
COVID-19 (B34.2/U07),1043
X. Aparelho respiratório,1008
XVIII. Sintomas e achados anormais,680
"IV. Endócrinas, nutricionais e metabólicas",562
I. Infecciosas e parasitárias,499
XVI. Período perinatal,478
XI. Aparelho digestivo,374
XIV. Aparelho geniturinário,238
VI. Sistema nervoso,167
XVII. Malformações congênitas,146
III. Sangue e imunitárias,54
V. Transtornos mentais e comportamentais,41
XIII. Osteomuscular e conjuntivo,36
"XV. Gravidez, parto e puerpério",33
XII. Pele e tecido subcutâneo,31
VII. Olho e anexos,1
